Extension,number_regs,imm/shamt,aqrl/rm,Opcode,rd,rs1,rs2,rs3,pred,succ
A,3,,aqrl,amoor.d,rd,rs1,rs2,,,
A,3,,aqrl,amoand.d,rd,rs1,rs2,,,
A,3,,aqrl,amomin.d,rd,rs1,rs2,,,
A,3,,aqrl,amomax.d,rd,rs1,rs2,,,
A,3,,aqrl,amominu.d,rd,rs1,rs2,,,
A,3,,aqrl,amomaxu.d,rd,rs1,rs2,,,
A,3,,aqrl,amoswap.d,rd,rs1,rs2,,,
A,3,,aqrl,sc.d,rd,rs1,rs2,,,
F,3,,rm,fadd.s,rd,rs1,rs2,,,
F,3,,rm,fsub.s,rd,rs1,rs2,,,
F,3,,rm,fmul.s,rd,rs1,rs2,,,
F,3,,rm,fdiv.s,rd,rs1,rs2,,,
F,3,,,fsgnj.s,rd,rs1,rs2,,,
F,3,,,fsgnjn.s,rd,rs1,rs2,,,
F,3,,,fsgnjx.s,rd,rs1,rs2,,,
F,3,,,fmin.s,rd,rs1,rs2,,,
F,3,,,fmax.s,rd,rs1,rs2,,,
F,3,,,fle.s,rd,rs1,rs2,,,
F,3,,,flt.s,rd,rs1,rs2,,,
F,3,,,feq.s,rd,rs1,rs2,,,
D,3,,rm,fadd.d,rd,rs1,rs2,,,
D,3,,rm,fsub.d,rd,rs1,rs2,,,
D,3,,rm,fmul.d,rd,rs1,rs2,,,
D,3,,rm,fdiv.d,rd,rs1,rs2,,,
D,3,,,fsgnj.d,rd,rs1,rs2,,,
D,3,,,fsgnjn.d,rd,rs1,rs2,,,
D,3,,,fsgnjx.d,rd,rs1,rs2,,,
D,3,,,fmin.d,rd,rs1,rs2,,,
D,3,,,fmax.d,rd,rs1,rs2,,,
D,3,,,flt.d,rd,rs1,rs2,,,
D,3,,,fle.d,rd,rs1,rs2,,,
D,3,,,feq.d,rd,rs1,rs2,,,
F,4,,rm,fmadd.s,rd,rs1,rs2,rs3,,
F,4,,rm,fmsub.s,rd,rs1,rs2,rs3,,
F,4,,rm,fnmsub.s,rd,rs1,rs2,rs3,,
F,4,,rm,fnmadd.s,rd,rs1,rs2,rs3,,
D,4,,rm,fmadd.d,rd,rs1,rs2,rs3,,
D,4,,rm,fmsub.d,rd,rs1,rs2,rs3,,
D,4,,rm,fnmsub.d,rd,rs1,rs2,rs3,,
D,4,,rm,fnmadd.d,rd,rs1,rs2,rs3,,
